feature,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
dst_host_count,0.00974250,0.08074116,0.12331184,0.02882444,0.05269982,0.05221793,0.00001083,0.00000000,0.00000850,0.00106908,0.00007455,0.04156526,0.00026426,0.00008468,0.00010311,0.00203724,0.00053907,0.00006148,0.00051337,0.00000024,0.00132972,0.07033372,0.05805122,0.00092592,0.00194533,0.02365303,0.02070388,0.00000000,0.02587844,0.01494213,0.93572135,0.04317572,0.04229394,0.04644760,0.42861680,0.26074141,0.01521642,0.02506765,0.01385738,0.02574587
dst_host_srv_count,0.04467009,0.01454545,0.26364903,0.00306496,0.11719945,0.13170179,0.00000084,-0.00000000,0.00011612,0.00958248,0.00120324,0.02679628,0.00640441,0.00097933,0.00155591,0.00960253,0.00292283,0.00048895,0.00035024,0.00000590,0.01365179,0.08002625,0.12126537,0.00029675,0.00058259,0.00005859,0.00058248,-0.00000000,0.01887942,0.03642451,0.04317572,0.56619488,0.25661331,0.19377148,0.08941856,0.00573063,0.01355823,0.00439147,0.00535238,0.00141646
dst_host_same_srv_rate,0.07908198,0.01265071,0.33084202,0.00816049,0.16297922,0.15576174,0.00000018,0.00000000,0.00008912,0.00796586,0.00101181,0.01451329,0.00558188,0.00075540,0.00124367,0.00842549,0.00411880,0.00040546,0.00050329,0.00000561,0.01147111,0.09919533,0.13646153,0.00024495,0.00096603,0.00285460,0.00434785,0.00000000,0.01908014,0.01862725,0.04229394,0.25661331,0.55889748,0.24881418,0.04454976,0.01264348,0.02073832,0.00641758,0.00412516,0.00312417
dst_host_diff_srv_rate,0.08001043,0.00036600,0.27362774,0.00596422,0.13679006,0.12618912,0.00000015,-0.00000000,0.00005184,0.00491367,0.00061815,0.00658356,0.00355942,0.00050881,0.00080847,0.00670162,0.00328369,0.00029120,0.00072213,0.00000323,0.00661777,0.10059310,0.12307250,0.00023736,0.00043360,0.00201822,0.00305106,-0.00000000,0.00531777,0.01416953,0.04644760,0.19377148,0.24881418,0.52415281,0.03423133,0.00687327,0.01812818,0.00447386,0.00287537,0.00154493
dst_host_same_src_port_rate,0.00547065,0.04225006,0.18779863,0.01740494,0.05187200,0.12331549,0.00000466,0.00000000,0.00000030,0.00070255,0.00002406,0.03129337,0.00011742,0.00002413,0.00001953,0.00323450,0.00052986,0.00042213,0.00084212,0.00000009,0.00076129,0.06850330,0.06724505,0.00104828,0.00054305,0.01348722,0.01116500,0.00000000,0.01473425,0.01484256,0.42861680,0.08941856,0.04454976,0.03423133,0.94561683,0.22381461,0.00078251,0.01039860,0.00579167,0.00992921
dst_host_srv_diff_host_rate,0.00952140,0.03345608,0.06225741,0.03752663,0.01112564,0.02616267,0.00000344,-0.00000000,0.00000173,0.00069236,0.00006053,0.00189184,0.00023113,0.00000838,0.00002667,0.00026167,0.00019759,0.00001533,0.00054768,0.00000029,0.00115314,0.02027516,0.01491975,0.00022950,0.00060819,0.03135998,0.02800004,-0.00000000,0.01184809,0.00204477,0.26074141,0.00573063,0.01264348,0.00687327,0.22381461,0.49446928,0.00114040,0.01594321,0.01602186,0.02942000
dst_host_serror_rate,0.00313527,0.01391156,0.03102406,0.01983734,0.01478343,0.00911026,0.00009546,-0.00000000,0.00002211,0.00075670,0.00027129,0.00677287,0.00439239,0.00065073,0.00076617,0.00087175,0.00104698,0.00007806,0.00041828,0.00000573,0.00008493,0.01556077,0.01624722,0.03907499,0.02979749,0.00067541,0.00067931,-0.00000000,0.00146011,0.00182278,0.01521642,0.01355823,0.02073832,0.01812818,0.00078251,0.00114040,0.27050964,0.10808357,0.00622081,0.00192325
dst_host_srv_serror_rate,0.00248105,0.02017490,0.02838162,0.01017795,0.00947112,0.00672649,0.00004694,-0.00000000,0.00000996,0.00041384,0.00013564,0.00887740,0.00319443,0.00047975,0.00060445,0.00081416,0.00071219,0.00004039,0.00036262,0.00000470,0.00023417,0.01325132,0.01079411,0.01478939,0.01496544,0.00052689,0.00053266,0.00000000,0.00518048,0.00254596,0.02506765,0.00439147,0.00641758,0.00447386,0.01039860,0.01594321,0.10808357,0.22547948,0.00220320,0.00680329
dst_host_rerror_rate,0.00020012,0.01012963,0.01510032,0.09432390,0.02307479,0.02379438,0.00000109,-0.00000000,0.00001013,0.00038325,0.00016199,0.01367297,0.00194062,0.00023854,0.00025630,0.00029766,0.00024434,0.00001347,0.00004732,0.00000258,0.00020746,0.03145193,0.02550611,0.00017206,0.00022972,0.09707970,0.08890947,-0.00000000,0.00327212,0.00097636,0.01385738,0.00535238,0.00412516,0.00287537,0.00579167,0.01602186,0.00622081,0.00220320,0.32085509,0.20703881
dst_host_srv_rerror_rate,0.00024565,0.01675990,0.02594756,0.10243464,0.02044645,0.02439004,0.00000250,-0.00000000,0.00000700,0.00040380,0.00013006,0.01487843,0.00197148,0.00023212,0.00024808,0.00006632,0.00011034,0.00001105,0.00002636,0.00000281,0.00022927,0.02683682,0.02075819,0.00029575,0.00059269,0.10439287,0.09617721,-0.00000000,0.00443077,0.00141906,0.02574587,0.00141646,0.00312417,0.00154493,0.00992921,0.02942000,0.00192325,0.00680329,0.20703881,0.28141568
